46,35,31,49,48,51
128,53,39,116,81,67
255,130,88,199,147,129
79,108,118,91,122,156
87,75,37,90,108,64
123,115,134,130,128,176
104,170,119,92,190,172
255,104,32,224,124,47
36,87,147,68,91,170
255,74,64,198,82,97
93,44,72,94,58,106
212,148,39,159,189,63
255,128,31,230,162,39
18,54,110,34,63,147
95,119,47,67,149,74
255,48,36,180,49,57
255,168,35,238,198,32
255,84,116,193,84,151
29,118,128,12,136,170
255,242,229,243,238,243
254,199,164,200,202,202
195,149,119,161,162,161
129,103,83,120,121,120
78,58,53,82,83,83
48,35,35,49,48,51
111,56,34,116,81,67
253,136,84,199,147,129
82,104,119,91,122,156
72,76,31,90,108,64
128,111,137,130,128,176
107,169,118,92,190,172
255,112,25,224,124,47
49,81,154,68,91,170
254,81,59,198,82,97
83,46,69,94,58,106
195,153,31,159,189,63
255,137,23,230,162,39
29,52,114,34,63,147
80,120,40,67,149,74
250,55,31,180,49,57
255,176,26,238,198,32
250,87,119,193,84,151
36,115,130,12,136,170
